id,participant_type,participant_group,duration,sessions,d1_reading_time,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d1_q6,d1_rate,d1_correctness,d1_insecurity,d1_insecurity_count,d2_reading_time,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d2_q6,d2_rate,d2_correctness,d2_insecurity,d2_insecurity_count,age_range,education_fields,education_level,employment,employment_fields,italian_knowledge
1,ADMINISTRATIVE,A,1020,1,499.972,1.0,3.0,1.0,1.0,1.0,1.0,4.0,5,False,0,226.652,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5,False,0,25-34,JURIDICAL,BACHELOR,EMPLOYEE,ADMINISTRATIVE,M
10,ADMINISTRATIVE,B,985,1,383.87,1.0,3.0,3.0,1.0,1.0,1.0,3.0,4,False,0,233.47,1.0,4.0,2.0,1.0,1.0,2.0,3.0,3,False,0,35-44,OTHER,HIGH,EMPLOYEE,IT | OTHER,M
11,ADMINISTRATIVE,A,878,1,309.125,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2,False,0,221.966,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5,False,0,45-54,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M
13,ADMINISTRATIVE,C,1016,1,416.598,1.0,3.0,1.0,1.0,2.0,1.0,3.0,4,False,0,316.136,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,45-54,OTHER,HIGH,EMPLOYEE,ADMINISTRATIVE,M
14,ADMINISTRATIVE,B,1138,1,323.449,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4,False,0,289.004,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3,False,0,55-64,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M
15,ADMINISTRATIVE,C,1004,1,416.329,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5,False,0,295.649,1.0,2.0,4.0,2.0,1.0,1.0,3.0,3,False,0,35-44,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M
2,ADMINISTRATIVE,B,944,1,389.441,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4,False,0,212.516,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6,False,0,45-54,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M
3,ADMINISTRATIVE,D,1434,1,671.302,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,372.378,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6,False,0,45-54,HUMANISTIC,MASTER,EMPLOYEE,ADMINISTRATIVE,M
4,ADMINISTRATIVE,A,1474,1,827.184,1.0,1.0,3.0,2.0,1.0,1.0,3.0,4,False,0,444.44,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4,False,0,45-54,HUMANISTIC,PHD,EMPLOYEE,EDUCATION,M
7,ADMINISTRATIVE,D,1788,1,649.189,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,581.684,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,55-64,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M
S13,FOREIGNER,A,1234,1,378.102,1.0,1.0,1.0,3.0,2.0,1.0,3.0,4,False,0,133.848,1.0,3.0,4.0,1.0,1.0,1.0,4.0,4,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B1
S15,FOREIGNER,B,1164,1,508.278,4.0,2.0,3.0,1.0,1.0,5.0,4.0,2,True,1,397.153,4.0,4.0,4.0,1.0,1.0,4.0,5.0,2,False,0,35-44,OTHER,HIGH,EMPLOYEE,HEALTH,A2
S17,FOREIGNER,D,2311,1,392.706,2.0,3.0,5.0,5.0,5.0,1.0,5.0,1,True,3,1323.524,1.0,1.0,5.0,2.0,1.0,1.0,5.0,4,True,1,18-24,ARTISTIC | OTHER,BACHELOR,STUDENT,OTHER,B1
S18,FOREIGNER,C,1749,3,508.481,5.0,5.0,2.0,5.0,1.0,1.0,5.0,2,True,3,333.299,1.0,3.0,3.0,2.0,1.0,1.0,5.0,3,False,0,18-24,HUMANISTIC | OTHER,BACHELOR,STUDENT,ARTISTIC | OTHER,B1
S20,FOREIGNER,D,2152,1,917.382,1.0,4.0,1.0,1.0,1.0,4.0,5.0,4,False,0,737.965,1.0,4.0,2.0,1.0,1.0,1.0,5.0,4,False,0,18-24,HUMANISTIC | JURIDICAL,BACHELOR,STUDENT,ADMINISTRATIVE | EDUCATION | ARTISTIC,B1
S21,FOREIGNER,B,2194,1,873.826,1.0,3.0,2.0,1.0,1.0,1.0,5.0,4,False,0,155.295,1.0,1.0,4.0,4.0,1.0,1.0,5.0,4,False,0,18-24,HUMANISTIC,BACHELOR,STUDENT,OTHER,B1
S24,FOREIGNER,C,2129,1,190.267,1.0,4.0,3.0,3.0,1.0,1.0,4.0,3,False,0,1046.339,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B2
S25,FOREIGNER,B,1535,2,311.255,1.0,3.0,1.0,4.0,2.0,1.0,3.0,3,False,0,492.033,1.0,1.0,3.0,3.0,1.0,1.0,5.0,4,False,0,18-24,HUMANISTIC,LOW,STUDENT,OTHER,B1
S27,FOREIGNER,C,910,1,469.083,3.0,2.0,1.0,4.0,2.0,1.0,3.0,2,False,0,236.124,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3,False,0,18-24,JURIDICAL | OTHER,HIGH,STUDENT,OTHER,B1
S28,FOREIGNER,D,1841,3,404.744,1.0,3.0,2.0,1.0,1.0,1.0,4.0,4,False,0,1973.934,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6,False,0,18-24,OTHER,BACHELOR,STUDENT,OTHER,B1
S3,FOREIGNER,C,3701,1,1467.099,1.0,2.0,4.0,5.0,1.0,3.0,5.0,2,True,1,1284.215,1.0,4.0,1.0,3.0,1.0,2.0,5.0,3,False,0,18-24,HUMANISTIC,HIGH,STUDENT,OTHER,B1
S33,FOREIGNER,B,1279,1,546.215,1.0,3.0,2.0,1.0,2.0,1.0,5.0,3,False,0,269.404,1.0,3.0,4.0,4.0,1.0,4.0,5.0,2,False,0,18-24,ARTISTIC,HIGH,STUDENT,ARTISTIC,B2
S35,FOREIGNER,A,1664,2,504.225,1.0,3.0,1.0,1.0,2.0,1.0,2.0,4,False,0,527.844,1.0,1.0,1.0,2.0,1.0,3.0,3.0,4,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B2
S36,FOREIGNER,B,1487,1,538.096,1.0,3.0,1.0,5.0,1.0,1.0,3.0,4,True,1,258.569,2.0,3.0,4.0,1.0,4.0,1.0,4.0,2,False,0,18-24,EDUCATION,BACHELOR,STUDENT,EDUCATION,B2
S39,FOREIGNER,D,1746,1,216.845,1.0,3.0,4.0,2.0,2.0,1.0,3.0,2,False,0,743.744,1.0,4.0,2.0,1.0,1.0,2.0,3.0,3,False,0,18-24,HUMANISTIC,HIGH,STUDENT,ARTISTIC | OTHER,B2
S4,FOREIGNER,A,1221,1,510.154,1.0,2.0,5.0,3.0,2.0,1.0,4.0,2,True,1,250.825,1.0,5.0,3.0,5.0,4.0,4.0,4.0,1,True,2,18-24,OTHER,HIGH,STUDENT,OTHER,B1
S42,FOREIGNER,D,869,1,177.03,1.0,1.0,1.0,1.0,5.0,3.0,4.0,4,True,1,400.348,2.0,3.0,3.0,4.0,1.0,2.0,5.0,1,False,0,18-24,HUMANISTIC,HIGH,STUDENT,OTHER,B1
S49,FOREIGNER,D,899,2,136.239,2.0,3.0,4.0,1.0,2.0,1.0,3.0,2,False,0,337.633,1.0,3.0,1.0,1.0,1.0,1.0,2.0,5,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B2
S53,FOREIGNER,C,1632,1,265.064,4.0,1.0,3.0,2.0,4.0,1.0,5.0,2,False,0,664.59,1.0,3.0,2.0,5.0,4.0,1.0,4.0,2,True,1,18-24,OTHER,HIGH,STUDENT,OTHER,B1
S59,FOREIGNER,A,1931,2,411.475,1.0,2.0,1.0,2.0,5.0,1.0,3.0,3,True,1,277.831,1.0,1.0,4.0,3.0,3.0,1.0,4.0,3,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B2
UEFSVEVDSVBBTlRFXzc3,FOREIGNER,C,1502,2,288.797,1.0,3.0,1.0,3.0,1.0,5.0,4.0,3,True,1,728.26,1.0,4.0,1.0,3.0,1.0,1.0,5.0,4,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,C1
UEFSVEVDSVBBTlRFXzc4,FOREIGNER,D,1359,1,365.049,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,589.404,1.0,4.0,1.0,2.0,1.0,1.0,3.0,4,False,0,18-24,JURIDICAL,HIGH,STUDENT,OTHER,C1
UEFSVEVDSVBBTlRFXzE0NA==,REGULAR,B,4702,3,3716.543,1.0,1.0,2.0,1.0,2.0,1.0,3.0,4,False,0,463.543,1.0,4.0,3.0,2.0,1.0,1.0,3.0,3,False,0,35-44,HUMANISTIC,HIGH,EMPLOYEE,OTHER,M
UEFSVEVDSVBBTlRFXzE0Ng==,REGULAR,D,992,1,431.915,1.0,3.0,1.0,1.0,1.0,1.0,4.0,5,False,0,256.1,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,45-54,HUMANISTIC,MASTER,EMPLOYEE,EDUCATION,M
UEFSVEVDSVBBTlRFXzE0NQ==,REGULAR,A,803,1,322.057,1.0,3.0,2.0,1.0,2.0,1.0,4.0,3,False,0,216.579,1.0,4.0,1.0,1.0,3.0,1.0,4.0,4,False,0,55-64,HUMANISTIC,MASTER,EMPLOYEE,EDUCATION,M
UEFSVEVDSVBBTlRFXzE1Mg==,REGULAR,C,797,1,237.468,1.0,3.0,4.0,2.0,1.0,1.0,2.0,3,False,0,223.866,1.0,4.0,1.0,1.0,2.0,1.0,2.0,4,False,0,45-54,JURIDICAL,BACHELOR,EMPLOYEE,EDUCATION,M
UEFSVEVDSVBBTlRFXzE1MQ==,REGULAR,B,2008,1,616.361,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,464.865,1.0,4.0,1.0,3.0,1.0,1.0,4.0,4,False,0,35-44,ENGINEERING,MASTER,EMPLOYEE,IT,M
UEFSVEVDSVBBTlRFXzE1Mw==,REGULAR,A,1684,1,602.265,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5,False,0,384.498,1.0,4.0,1.0,2.0,1.0,1.0,3.0,4,False,0,55-64,SCIENTIFIC,MASTER,EMPLOYEE,EDUCATION,M
UEFSVEVDSVBBTlRFXzE1NA==,REGULAR,C,3339,1,2371.154,1.0,2.0,2.0,3.0,1.0,5.0,3.0,2,True,1,273.896,1.0,4.0,1.0,2.0,1.0,1.0,4.0,4,False,0,45-54,OTHER,HIGH,EMPLOYEE,EDUCATION,M
